----  TOTAL
7338  Secretarial and court reporting
7340  Services to buildings
7342  Disinfecting and pest control services
7349  Building maintenance services, n.e.c.
7350  Misc. equipment rental and leasing
7352  Medical equipment rental
7353  Heavy construction equipment rental
7359  Equipment rental and leasing, n.e.c.
7360  Personnel supply services
7361  Employment agencies
7363  Help supply services
7370  Computer and data processing services
7371  Computer programming services
7372  Prepackaged software
7373  Computer integrated systems design
7374  Data processing and preparation
7375  Information retrieval services
7376  Computer facilities management
7377  Computer rental and leasing
7378  Computer maintenance and repair
7379  Computer related services, n.e.c.
7380  Miscellaneous business services
7381  Detective and armored car services
7382  Security systems services
7383  News syndicates
7384  Photofinishing laboratories
7389  Business services, n.e.c.
7500  Auto repair, services, and parking
7510  Automotive rentals, no drivers
7513  Truck rental and leasing, no drivers
7514  Passenger car rental
7515  Passenger car leasing
7519  Utility trailer rental
7520  Automobile parking
7530  Automotive repair shops
7532  Top and body repair and paint shops
7533  Auto exhaust system repair shops
7534  Tire retreading and repair shops
7536  Automotive glass replacement shops
7537  Automotive transmission repair shops
7538  General automotive repair shops
7539  Automotive repair shops, n.e.c.
7540  Automotive services, except repair
7542  Carwashes
7549  Automotive services, n.e.c.
7600  Miscellaneous repair services
7620  Electrical repair shops
7622  Radio and television repair
7623  Refrigeration service and repair
7629  Electrical repair shops, n.e.c.
7630  Watch, clock, and jewelry repair
7640  Reupholstery and furniture repair
7690  Miscellaneous repair shops
7692  Welding repair
7694  Armature rewinding shops
7699  Repair services, n.e.c.
7800  Motion pictures
7810  Motion picture production and services
7812  Motion picture and video production
7819  Services allied to motion pictures
7820  Motion picture distribution and services
7822  Motion picture and tape distribution
7829  Motion picture distribution services
7830  Motion picture theaters
7832  Motion picture theaters, ex drive-in
7833  Drive-in motion picture theaters
7840  Video tape rental
7900  Amusement and recreation services
7910  Dance studios, schools, and halls
7920  Producers, orchestras, entertainers
7922  Theatrical producers and services
7929  Entertainers and entertainment groups
7930  Bowling centers
7940  Commercial sports
7941  Sports clubs, managers, and promoters
7948  Racing, including track operation
7990  Misc. amusement, recreation services
7991  Physical fitness facilities
7992  Public golf courses
7993  Coin-operated amusement devices
7996  Amusement parks
7997  Membership sports and recreation clubs
7999  Amusement and recreation, n.e.c.
8000  Health services
8010  Offices and clinics of medical doctors
8020  Offices and clinics of dentists
8030  Offices of osteopathic physicians
8040  Offices of other health practitioners
8041  Offices and clinics of chiropractors
8042  Offices and clinics of optometrists
8043  Offices and clinics of podiatrists
8049  Offices of health practitioners, n.e.c.
8050  Nursing and personal care facilities
8060  Hospitals
8070  Medical and dental laboratories
8071  Medical laboratories
8072  Dental laboratories
8080  Home health care services
8090  Health and allied services, n.e.c.
8100  Legal services
8200  Educational services
8210  Elementary and secondary schools
8220  Colleges and universities
8230  Libraries
8240  Vocational schools
8290  Schools and educational services, n.e.c.
8300  Social services
8320  Individual and family services
8330  Job training and related services
8350  Child day care services
8360  Residential care
8390  Social services, n.e.c.
8400  Museums, botanical, zoological gardens
8410  Museums and art galleries
8420  Botanical and zoological gardens
8600  Membership organizations
8610  Business associations
8620  Professional organizations
8630  Labor organizations
8640  Civic and social associations
8650  Political organizations
8660  Religious organizations
8690  Membership organizations, n.e.c.
8700  Engineering and management services
8710  Engineering and architectural services
8711  Engineering services
8712  Architectural services
8713  Surveying services
8720  Accounting, auditing, and bookkeeping
8730  Research and testing services
8731  Commercial physical research
8732  Commercial nonphysical research
8733  Noncommercial research organizations
8734  Testing laboratories
8740  Management and public relations
8741  Management services
8742  Management consulting services
8743  Public relations services
8744  Facilities support services
8748  Business consulting, n.e.c.
8900  Services, n.e.c.
899\  Administrative and auxiliary
99--  UNCLASSIFIED ESTABLISHMENTS
